{'loss': 1.1567, 'learning_rate': 4.958893871449925e-05, 'epoch': 0.02}
{'loss': 0.7899, 'learning_rate': 4.917787742899851e-05, 'epoch': 0.03}
{'loss': 0.8155, 'learning_rate': 4.876266400930078e-05, 'epoch': 0.05}
{'loss': 0.7226, 'learning_rate': 4.834745058960306e-05, 'epoch': 0.07}
{'loss': 0.6895, 'learning_rate': 4.793223716990534e-05, 'epoch': 0.08}
{'loss': 0.6503, 'learning_rate': 4.7517023750207604e-05, 'epoch': 0.1}
{'loss': 0.6686, 'learning_rate': 4.710181033050988e-05, 'epoch': 0.12}
{'loss': 0.5835, 'learning_rate': 4.669074904500913e-05, 'epoch': 0.13}
{'loss': 0.5229, 'learning_rate': 4.627553562531141e-05, 'epoch': 0.15}
{'loss': 0.5222, 'learning_rate': 4.586447433981066e-05, 'epoch': 0.17}
{'loss': 0.5352, 'learning_rate': 4.544926092011294e-05, 'epoch': 0.18}
{'loss': 0.4991, 'learning_rate': 4.503404750041522e-05, 'epoch': 0.2}
{'loss': 0.4767, 'learning_rate': 4.461883408071749e-05, 'epoch': 0.22}
{'loss': 0.4604, 'learning_rate': 4.420362066101977e-05, 'epoch': 0.23}
{'loss': 0.4309, 'learning_rate': 4.3788407241322046e-05, 'epoch': 0.25}
{'loss': 0.3917, 'learning_rate': 4.337319382162432e-05, 'epoch': 0.27}
{'loss': 0.4387, 'learning_rate': 4.295798040192659e-05, 'epoch': 0.28}
{'loss': 0.4429, 'learning_rate': 4.254276698222887e-05, 'epoch': 0.3}
{'loss': 0.4069, 'learning_rate': 4.212755356253114e-05, 'epoch': 0.32}
{'loss': 0.375, 'learning_rate': 4.171234014283342e-05, 'epoch': 0.33}
{'loss': 0.3857, 'learning_rate': 4.1297126723135696e-05, 'epoch': 0.35}
{'loss': 0.3859, 'learning_rate': 4.088191330343797e-05, 'epoch': 0.37}
{'loss': 0.4072, 'learning_rate': 4.0466699883740245e-05, 'epoch': 0.38}
{'loss': 0.3293, 'learning_rate': 4.005148646404252e-05, 'epoch': 0.4}
{'loss': 0.3845, 'learning_rate': 3.9636273044344795e-05, 'epoch': 0.42}
{'loss': 0.3487, 'learning_rate': 3.9221059624647074e-05, 'epoch': 0.43}
{'loss': 0.3507, 'learning_rate': 3.8805846204949345e-05, 'epoch': 0.45}
{'loss': 0.373, 'learning_rate': 3.839063278525162e-05, 'epoch': 0.47}
{'loss': 0.3468, 'learning_rate': 3.79754193655539e-05, 'epoch': 0.48}
{'loss': 0.3155, 'learning_rate': 3.7560205945856166e-05, 'epoch': 0.5}
{'loss': 0.3553, 'learning_rate': 3.7144992526158445e-05, 'epoch': 0.51}
{'loss': 0.3751, 'learning_rate': 3.672977910646072e-05, 'epoch': 0.53}
{'loss': 0.3611, 'learning_rate': 3.6314565686762994e-05, 'epoch': 0.55}
{'loss': 0.3449, 'learning_rate': 3.589935226706527e-05, 'epoch': 0.56}
{'loss': 0.3216, 'learning_rate': 3.548413884736755e-05, 'epoch': 0.58}
{'loss': 0.3241, 'learning_rate': 3.506892542766982e-05, 'epoch': 0.6}
{'loss': 0.2957, 'learning_rate': 3.46537120079721e-05, 'epoch': 0.61}
{'loss': 0.3168, 'learning_rate': 3.423849858827438e-05, 'epoch': 0.63}
{'loss': 0.3144, 'learning_rate': 3.382328516857665e-05, 'epoch': 0.65}
{'loss': 0.2926, 'learning_rate': 3.340807174887893e-05, 'epoch': 0.66}
{'loss': 0.2594, 'learning_rate': 3.29928583291812e-05, 'epoch': 0.68}
{'loss': 0.3049, 'learning_rate': 3.257764490948347e-05, 'epoch': 0.7}
{'loss': 0.3223, 'learning_rate': 3.216243148978575e-05, 'epoch': 0.71}
{'loss': 0.307, 'learning_rate': 3.174721807008803e-05, 'epoch': 0.73}
{'loss': 0.276, 'learning_rate': 3.13320046503903e-05, 'epoch': 0.75}
{'loss': 0.2893, 'learning_rate': 3.091679123069258e-05, 'epoch': 0.76}
{'loss': 0.2681, 'learning_rate': 3.0501577810994853e-05, 'epoch': 0.78}
{'loss': 0.2697, 'learning_rate': 3.0086364391297128e-05, 'epoch': 0.8}
{'loss': 0.2809, 'learning_rate': 2.9671150971599403e-05, 'epoch': 0.81}
{'loss': 0.2708, 'learning_rate': 2.925593755190168e-05, 'epoch': 0.83}
{'loss': 0.2612, 'learning_rate': 2.8840724132203956e-05, 'epoch': 0.85}
{'loss': 0.2852, 'learning_rate': 2.842551071250623e-05, 'epoch': 0.86}
{'loss': 0.246, 'learning_rate': 2.8014449427005485e-05, 'epoch': 0.88}
{'loss': 0.2739, 'learning_rate': 2.7599236007307757e-05, 'epoch': 0.9}
{'loss': 0.2951, 'learning_rate': 2.718402258761003e-05, 'epoch': 0.91}
{'loss': 0.2485, 'learning_rate': 2.6768809167912306e-05, 'epoch': 0.93}
{'loss': 0.304, 'learning_rate': 2.635359574821458e-05, 'epoch': 0.95}
{'loss': 0.252, 'learning_rate': 2.593838232851686e-05, 'epoch': 0.96}
{'loss': 0.2753, 'learning_rate': 2.5523168908819134e-05, 'epoch': 0.98}
{'loss': 0.2809, 'learning_rate': 2.510795548912141e-05, 'epoch': 1.0}
{'eval_loss': 0.2937306761741638, 'eval_runtime': 1162.0197, 'eval_samples_per_second': 20.725, 'eval_steps_per_second': 5.181, 'epoch': 1.0}
{'loss': 0.2405, 'learning_rate': 2.4692742069423684e-05, 'epoch': 1.01}
{'loss': 0.2383, 'learning_rate': 2.4277528649725962e-05, 'epoch': 1.03}
{'loss': 0.2503, 'learning_rate': 2.3862315230028234e-05, 'epoch': 1.05}
{'loss': 0.2215, 'learning_rate': 2.344710181033051e-05, 'epoch': 1.06}
{'loss': 0.2797, 'learning_rate': 2.3031888390632787e-05, 'epoch': 1.08}
{'loss': 0.2431, 'learning_rate': 2.2616674970935062e-05, 'epoch': 1.1}
{'loss': 0.2086, 'learning_rate': 2.2201461551237337e-05, 'epoch': 1.11}
{'loss': 0.2292, 'learning_rate': 2.179040026573659e-05, 'epoch': 1.13}
{'loss': 0.2689, 'learning_rate': 2.1375186846038863e-05, 'epoch': 1.15}
{'loss': 0.2317, 'learning_rate': 2.095997342634114e-05, 'epoch': 1.16}
{'loss': 0.2358, 'learning_rate': 2.0544760006643416e-05, 'epoch': 1.18}
{'loss': 0.2385, 'learning_rate': 2.012954658694569e-05, 'epoch': 1.2}
{'loss': 0.2289, 'learning_rate': 1.9714333167247966e-05, 'epoch': 1.21}
{'loss': 0.182, 'learning_rate': 1.9299119747550244e-05, 'epoch': 1.23}
{'loss': 0.227, 'learning_rate': 1.8883906327852515e-05, 'epoch': 1.25}
{'loss': 0.1873, 'learning_rate': 1.846869290815479e-05, 'epoch': 1.26}
{'loss': 0.2397, 'learning_rate': 1.805347948845707e-05, 'epoch': 1.28}
{'loss': 0.2378, 'learning_rate': 1.7638266068759343e-05, 'epoch': 1.3}
{'loss': 0.2115, 'learning_rate': 1.7223052649061618e-05, 'epoch': 1.31}
{'loss': 0.2106, 'learning_rate': 1.6807839229363893e-05, 'epoch': 1.33}
{'loss': 0.2194, 'learning_rate': 1.639262580966617e-05, 'epoch': 1.35}
{'loss': 0.1962, 'learning_rate': 1.5977412389968443e-05, 'epoch': 1.36}
{'loss': 0.2304, 'learning_rate': 1.5562198970270718e-05, 'epoch': 1.38}
{'loss': 0.1881, 'learning_rate': 1.5146985550572994e-05, 'epoch': 1.4}
{'loss': 0.2364, 'learning_rate': 1.4731772130875271e-05, 'epoch': 1.41}
{'loss': 0.2175, 'learning_rate': 1.4316558711177548e-05, 'epoch': 1.43}
{'loss': 0.2555, 'learning_rate': 1.3901345291479822e-05, 'epoch': 1.44}
{'loss': 0.2068, 'learning_rate': 1.3486131871782096e-05, 'epoch': 1.46}
{'loss': 0.1972, 'learning_rate': 1.3070918452084372e-05, 'epoch': 1.48}
{'loss': 0.1744, 'learning_rate': 1.2655705032386647e-05, 'epoch': 1.49}
{'loss': 0.1947, 'learning_rate': 1.2240491612688924e-05, 'epoch': 1.51}
{'loss': 0.1656, 'learning_rate': 1.1825278192991197e-05, 'epoch': 1.53}
{'loss': 0.2207, 'learning_rate': 1.1410064773293473e-05, 'epoch': 1.54}
{'loss': 0.2249, 'learning_rate': 1.0994851353595748e-05, 'epoch': 1.56}
{'loss': 0.1845, 'learning_rate': 1.0579637933898025e-05, 'epoch': 1.58}
{'loss': 0.214, 'learning_rate': 1.01644245142003e-05, 'epoch': 1.59}
{'loss': 0.1928, 'learning_rate': 9.749211094502575e-06, 'epoch': 1.61}
{'loss': 0.2331, 'learning_rate': 9.333997674804851e-06, 'epoch': 1.63}
{'loss': 0.192, 'learning_rate': 8.918784255107124e-06, 'epoch': 1.64}
{'loss': 0.1934, 'learning_rate': 8.503570835409401e-06, 'epoch': 1.66}
{'loss': 0.189, 'learning_rate': 8.088357415711676e-06, 'epoch': 1.68}
{'loss': 0.2236, 'learning_rate': 7.67314399601395e-06, 'epoch': 1.69}
{'loss': 0.2246, 'learning_rate': 7.2579305763162266e-06, 'epoch': 1.71}
{'loss': 0.178, 'learning_rate': 6.842717156618503e-06, 'epoch': 1.73}
{'loss': 0.1785, 'learning_rate': 6.427503736920777e-06, 'epoch': 1.74}
